Source,Target,Type,Weight
1,2,Directed,1
1,3,Directed,2
2,1,Directed,1
2,4,Directed,2
3,9,Directed,1
3,6,Directed,2
4,5,Directed,1
4,8,Directed,2
5,4,Directed,1
5,7,Directed,2
6,9,Directed,2
6,8,Directed,1
7,6,Directed,2
7,9,Directed,1
8,3,Directed,2
8,1,Directed,1
9,6,Directed,1
9,2,Directed,2
10,3,Directed,2
10,4,Directed,1
11,10,Directed,1
11,4,Directed,2
12,11,Directed,1
12,6,Directed,2
13,12,Directed,1
13,11,Directed,2
14,15,Directed,1
14,16,Directed,2
15,14,Directed,1
15,16,Directed,2
16,14,Directed,1
16,15,Directed,2
17,19,Directed,1
17,15,Directed,2
18,16,Directed,1
18,13,Directed,2
19,18,Directed,1
19,17,Directed,2
20,21,Directed,1
20,11,Directed,2
21,20,Directed,1
21,24,Directed,2
22,14,Directed,1
22,15,Directed,2
23,20,Directed,1
23,22,Directed,2
24,21,Directed,1
24,23,Directed,2
25,26,Directed,1
25,19,Directed,2
26,25,Directed,1
26,19,Directed,2
27,20,Directed,1
27,21,Directed,2
